spec,treatment,event_time,estimate,se,ci_low,ci_high,n,switchers,n_w,switchers_w,window_start,window_end,subgroup_var,subgroup
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,11,-0.0254,0.0118,-0.04852,-0.00227,1083,73,1083,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,12,-0.02461,0.01214,-0.0484,-8.2e-4,1033,72,1033,72,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,13,-0.02355,0.01269,-0.04841,0.00131,988,72,988,72,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,14,-0.0218,0.01071,-0.04279,-8.1e-4,942,72,942,72,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,15,-0.02218,0.01074,-0.04323,-0.00112,893,72,893,72,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,-5,0.02207,0.01476,-0.00685,0.05099,1079,66,1079,66,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,-4,0.02116,0.0115,-0.00138,0.0437,1186,67,1186,67,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,-3,0.01661,0.00808,7.8e-4,0.03245,1295,69,1295,69,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,-2,0.01062,0.00567,-5e-4,0.02175,1408,70,1408,70,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,-1,0.00093000000000000005,0.00296,-0.00488,0.00674,1460,70,1460,70,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,1,-0.00253,0.0026,-0.00763,0.00257,1536,75,1536,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,2,-0.00302,0.00452,-0.01188,0.00583,1484,75,1484,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,3,-0.00653,0.00591,-0.0181,0.00505,1438,75,1438,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,4,-0.0105,0.00746,-0.02512,0.00411,1389,75,1389,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,5,-0.0128,0.00942,-0.03127,0.00567,1344,75,1344,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,6,-0.01256,0.01036,-0.03287,0.00775,1296,75,1296,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,7,-0.01639,0.01222,-0.04034,0.00756,1247,75,1247,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,8,-0.02074,0.01456,-0.04929,0.0078,1203,75,1203,75,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,9,-0.02552,0.01637,-0.0576,0.00655,1165,74,1165,74,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,10,-0.02304,0.01798,-0.05828,0.01221,1130,74,1130,74,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,11,-0.02214,0.02001,-0.06136,0.01708,1083,74,1083,74,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,12,-0.02422,0.02168,-0.06671,0.01827,1038,74,1038,74,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,13,-0.02725,0.02136,-0.06911,0.01461,998,74,998,74,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,14,-0.02418,0.02005,-0.06348,0.01511,960,73,960,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_climate_std,ln_death_rate_climate_std,15,-0.02762,0.01895,-0.06475,0.00951,924,73,924,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-5,-9.5e-4,0.00628,-0.01326,0.01136,1162,67,1162,67,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-4,1.2e-4,0.00518,-0.01003,0.01027,1273,69,1273,69,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-3,-7.3e-4,0.00398,-0.00853,0.00708,1389,70,1389,70,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-2,-0.00468,0.00269,-0.00995,5.9e-4,1434,70,1434,70,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-1,-0.00144,0.00135,-0.00409,0.0012,1556,71,1556,71,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,1,-0.00166,0.00124,-0.00409,7.7e-4,1631,73,1631,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,2,-0.00418,0.00256,-0.00921,8.4e-4,1581,73,1581,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,3,-0.00778,0.00388,-0.01538,-1.8e-4,1535,73,1535,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,4,-0.01077,0.00509,-0.02074,-8e-4,1484,73,1484,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,5,-0.01324,0.00585,-0.0247,-0.00179,1439,73,1439,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,6,-0.01592,0.00678,-0.02921,-0.00264,1388,73,1388,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,7,-0.01592,0.00743,-0.03048,-0.00137,1338,73,1338,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,8,-0.0163,0.00816,-0.03229,-3e-4,1293,73,1293,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,9,-0.01742,0.00884,-0.03475,-8e-5,1245,73,1245,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,10,-0.01645,0.00942,-0.03491,0.00201,1195,73,1195,73,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,11,-0.01552,0.00966,-0.03444,0.00341,1149,72,1149,72,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,12,-0.01541,0.01009,-0.03519,0.00437,1104,72,1104,72,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,13,-0.01356,0.0101,-0.03335,0.00623,1057,72,1057,72,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,14,-0.01244,0.00939,-0.03084,0.00596,1017,72,1017,72,NA,NA,group_income,Poor
income_Poor_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,15,-0.01086,0.00977,-0.03002,0.0083,968,72,968,72,NA,NA,group_income,Poor
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-5,0.00349,0.00806,-0.0123,0.01927,2436,94,2436,94,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-4,0.00698,0.00708,-0.0069,0.02086,2617,98,2617,98,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-3,0.00123,0.00611,-0.01074,0.0132,2796,99,2796,99,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-2,0.00592,0.00462,-0.00314,0.01498,3012,104,3012,104,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-1,0.00403,0.00243,-7.4e-4,0.0088,3213,109,3213,109,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,1,-0.00626,0.00214,-0.01045,-0.00206,3344,115,3344,115,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,2,-0.00654,0.00416,-0.01469,0.00162,3259,115,3259,115,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,3,-0.00814,0.00548,-0.01889,0.0026,3153,114,3153,114,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,4,-0.00515,0.00625,-0.0174,0.0071,3074,114,3074,114,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,5,-0.00358,0.00713,-0.01755,0.01039,2992,114,2992,114,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,6,-0.0018600000000000001,0.00761,-0.01677,0.01306,2911,114,2911,114,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,7,-0.00678,0.00816,-0.02276,0.00921,2820,113,2820,113,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,8,-0.01026,0.00913,-0.02815,0.00762,2735,110,2735,110,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,9,-0.00949,0.00986,-0.02881,0.00983,2662,110,2662,110,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,10,-0.01064,0.01007,-0.03038,0.0091,2596,110,2596,110,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,11,-0.00941,0.01032,-0.02963,0.01082,2525,110,2525,110,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,12,-0.0084,0.01079,-0.02955,0.01275,2449,109,2449,109,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,13,-0.00997,0.01136,-0.03224,0.01229,2364,108,2364,108,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,14,-0.00851,0.01137,-0.03079,0.01377,2310,108,2310,108,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_climate_std,ln_affected_rate_climate_std,15,-0.00539,0.01171,-0.02833,0.01756,2248,108,2248,108,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-5,0.01003,0.00592,-0.00157,0.02163,3187,75,3187,75,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-4,0.00495,0.00455,-0.00398,0.01388,3288,77,3288,77,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-3,0.0018600000000000001,0.00335,-0.0047,0.00841,3453,78,3453,78,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-2,0.00315,0.00232,-0.00139,0.00769,3627,83,3627,83,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-1,0.00331,0.00111,0.00114,0.00549,3816,86,3816,86,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,1,-3.6e-4,0.00108,-0.00248,0.00175,3950,89,3950,89,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,2,0.00321,0.00195,-6.2e-4,0.00704,3884,89,3884,89,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,3,-0.00153,0.00256,-0.00655,0.00348,3831,89,3831,89,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,4,-0.00206,0.00329,-0.00852,0.00439,3784,89,3784,89,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,5,-0.00367,0.00436,-0.01221,0.00487,3680,87,3680,87,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,6,-0.00678,0.00515,-0.01687,0.00332,3579,86,3579,86,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,7,-3.9e-4,0.00602,-0.0122,0.01142,3475,85,3475,85,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,8,-1.5e-4,0.00641,-0.01272,0.01242,3427,85,3427,85,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,9,-0.00322,0.00702,-0.01698,0.01054,3380,85,3380,85,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,10,-0.00737,0.00747,-0.02201,0.00726,3331,85,3331,85,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,11,-0.0089,0.00812,-0.0248,0.00701,3276,85,3276,85,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,12,-0.00459,0.00841,-0.02106,0.01189,3186,84,3186,84,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,13,-0.00158,0.00846,-0.01816,0.015,3142,84,3142,84,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,14,-0.00522,0.00855,-0.02197,0.01153,3105,84,3105,84,NA,NA,group_income,Rich
income_Rich_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,15,-0.00797,0.00849,-0.02462,0.00867,3017,83,3017,83,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,-5,-0.00301,0.00586,-0.01449,0.00847,2625,87,2625,87,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,-4,-0.00232,0.00469,-0.01151,0.00686,2797,91,2797,91,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,-3,-0.00506,0.00356,-0.01205,0.00192,2970,92,2970,92,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,-2,0.00347,0.00214,-7.4e-4,0.00767,3184,98,3184,98,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,-1,0.00176,0.00107,-3.4e-4,0.00386,3376,103,3376,103,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,1,-0.00527,0.00101,-0.00725,-0.00329,3507,109,3507,109,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,2,-0.00566,0.00198,-0.00955,-0.00177,3431,109,3431,109,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,3,-0.00272,0.00296,-0.00852,0.00309,3327,107,3327,107,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,4,-6.3e-4,0.00364,-0.00777,0.00651,3254,107,3254,107,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,5,0.00213,0.00438,-0.00646,0.01073,3181,107,3181,107,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,6,0.00468,0.00505,-0.00522,0.01458,3104,107,3104,107,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,7,0.00519,0.00554,-0.00567,0.01606,3045,107,3045,107,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,8,0.00474,0.00665,-0.00828,0.01776,2949,103,2949,103,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,9,0.0051,0.0072,-0.00902,0.01922,2888,103,2888,103,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,10,0.00637,0.00768,-0.00867,0.02142,2818,103,2818,103,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,11,0.00682,0.00797,-0.00881,0.02245,2761,103,2761,103,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,12,0.00769,0.00905,-0.01004,0.02542,2678,102,2678,102,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,13,0.00563,0.00937,-0.01273,0.02399,2591,100,2591,100,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,14,0.00701,0.00958,-0.01177,0.02578,2539,100,2539,100,NA,NA,group_income,Rich
income_Rich_ln_death_rate_climate_std,ln_death_rate_climate_std,15,0.00844,0.01008,-0.0113,0.02819,2457,99,2457,99,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-5,0.01574,0.00659,0.00283,0.02866,2652,56,2652,56,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-4,0.01038,0.00541,-2.3e-4,0.02098,2737,59,2737,59,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-3,0.009,0.00365,0.00185,0.01616,2882,60,2882,60,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-2,0.01105,0.00248,0.00619,0.01592,3096,66,3096,66,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,-1,0.00733,0.00119,0.00499,0.00967,3262,70,3262,70,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,1,0.00104,0.00108,-0.00108,0.00317,3396,72,3396,72,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,2,-0.00298,0.00197,-0.00685,8.8e-4,3353,72,3353,72,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,3,-0.00614,0.00266,-0.01136,-0.00093000000000000005,3260,71,3260,71,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,4,-0.00717,0.00344,-0.01391,-4.3e-4,3233,71,3233,71,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,5,-0.00927,0.0044,-0.01789,-6.5e-4,3145,68,3145,68,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,6,-0.00994,0.00516,-0.02006,1.7e-4,3114,68,3114,68,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,7,-0.00921,0.00608,-0.02112,0.0027,3082,68,3082,68,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,8,-0.00956,0.00597,-0.02125,0.00214,2998,67,2998,67,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,9,-0.01145,0.0068,-0.02477,0.00187,2973,67,2973,67,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,10,-0.0185,0.00761,-0.03341,-0.0036,2943,67,2943,67,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,11,-0.00875,0.00838,-0.02518,0.00767,2910,67,2910,67,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,12,-0.00359,0.00902,-0.02126,0.01408,2876,67,2876,67,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,13,-0.00793,0.00949,-0.02652,0.01067,2849,67,2849,67,NA,NA,group_income,Rich
income_Rich_ln_death_rate_no_climate_std,ln_death_rate_no_climate_std,14,-0.01172,0.00976,-0.03084,0.00741,2831,67,2831,67,NA,NA,group_income,Rich
